Image ID,Sequence,Category,Script Page,Archive,Caption,Source URL,Keywords,Downloaded,In Lightroom,Metadata Attached
photCL 486 (030),17,Commerce & Buildings,P.11 (loose),Huntington Library,"Union League building, Los Angeles (1957 - low priority)",https://hdl.huntington.org/digital/collection/p15150coll2/id/6210,"Union League Club; Los Angeles, CA",true,true,true
G91F370_004F,18,Commerce & Buildings,P.11 (loose),New York Public Library,"Union League Club (Philadelphia), smoking room",https://digitalcollections.nypl.org/items/daa17960-c567-012f-fafd-58d385a7bc34,"Union League Club; New York City, NY",,true,
723882F,19,Events & Disasters,P.11 (loose),New York Public Library,"Wall St. Panic, 1907",https://digitalcollections.nypl.org/items/0bca26c0-c554-012f-2667-58d385a7bc34,"Financial Panic (Wall St., 1907); New York City, NY; Wall Street, NY",true,true,
22582,20,People & Crowds,P.11-13,Utah Historical Society,"TRAIN - Crowds of people, some dressed up, 5/1/1905",https://collections.lib.utah.edu/ark:/87278/s64b38sz,,true,true,true
22583,21,People & Crowds,P.11-13,Utah Historical Society,"Crowds of people, some dressed up, 5/1/1905",https://collections.lib.utah.edu/ark:/87278/s60k2j16,,true,true,true
RYM9T9,22,Trains & Railroads — General,P.11,Alamy,"SP LA SL Railroad Depot, Riverside, California, 1905",https://www.alamy.com/san-pedro-los-angeles-salt-lake-railroad-depot-riverside-california-1905-california-riverside-the-san-pedro-los-angeles-salt-lake-ry-united-states-of-america-image240777273.html,"Railroads; Railroad Depot; Los Angeles, CA; Riverside, CA",true,true,true
pho014116-006,23,Trains & Railroads — General,"Yes -- script table row 11 (~1:04:00, ""workers joined by savvy businessmen"" narration): ""Pho014116-006-02 people w/train LR"" (top photo on this album page, group at S.P.L.A.&S.L. boxcars)",UNLV Special Collections,"Photograph album 2, Charles P. Squires Collection, page 6, circa 1910-1920 -- album page with 3 photos: group with horse wagon in front of San Pedro Los Angeles & Salt Lake Railroad boxcars; stone building in desert with woman in doorway; row of weathered shacks",https://special.library.unlv.edu/node/329255,,true,true,true
CHS-33079,24,Trains & Railroads — General,P.11,USC Digital Library,"Train crossing Santa Ana river, Riverside, 1904",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61RCFP5&PN=25&DocRID=2A3BF1YIGB0,"Trains; Riverside, CA; Santa Ana River, CA; arch bridge; bridge; crossing",,true,true
photCL 470 (007),25,Urban & Street Scenes,P.11,Huntington Library,"LA Street scenes, 1905 (Squires before LV)",https://hdl.huntington.org/digital/collection/p15150coll2/id/4217,"Street Scene; Charles “Pop” Squires; Los Angeles, CA; ca; hope; panorama; street scene",true,true,true
photCL Pierce 00059,26,Urban & Street Scenes,P.11,Huntington Library,"LA Street scenes, 1905",https://hdl.huntington.org/digital/collection/p15150coll2/id/3469,"Street Scene; Los Angeles, CA; LA; Bank; Building; California",true,true,true
photCL Pierce 00062,27,Urban & Street Scenes,P.11,Huntington Library,"LA Street scenes, 1905",https://hdl.huntington.org/digital/collection/p15150coll2/id/3470,"Street Scene; Los Angeles, CA; YMCA; architecture; california; carriage; commercial; pedestrians",true,true,true
photCL 470 (002),28,Urban & Street Scenes,P.11,Huntington Library,"LA Street scenes, 1905 (gallery upload)",https://hdl.huntington.org/digital/collection/p15150coll2/id/4229,"Aerial View; Los Angeles, CA; aerial; balloon; city; los angeles; panorama; town",true,true,true
CHS-5711/CHS-5712,29,Urban & Street Scenes,P.11 (loose),USC Digital Library,1914 Union League club in downtown panorama,https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61RZE5O&PN=2&DocRID=2A3BF1QAVOR,Union League Club; Downtown; Panorama,true,true,
CHS-5711,30,Urban & Street Scenes,P.11 (loose),USC Digital Library,1914 Union League club in downtown panorama - different angle,https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ6SGSZGA&PN=2&DocRID=2A3BF1QA2YD,Union League Club; Downtown; Panorama,true,true,true
pho019942,31,Recreation & Leisure,"P.13-14, P.163-165",UNLV Special Collections,"Camping, drinking beer, group smiling",https://special.library.unlv.edu/ark%3A/62930/d1w950s5n,Camping,true,true,true
NEEDS-ID-12,32,Uncategorized,P.13-14,Western Mining History / UNLV,Couple and dog in tent by creek (near Las Vegas Springs),https://www.stgeorgeutah.com/opinion/las-vegas-springs-preserve-day-water-and-railroad-meets-sin-city/article_75a7444d-72a1-5b34-b053-55d70c4021d4.html,,,,
Pho019940,33,Urban & Street Scenes,P.13-14,UNLV Special Collections,Johnnie Horden and others on Las Vegas Creek,https://special.library.unlv.edu/ark%3A/62930/d14q7qv1c,"Johnnie Horden; Las Vegas, NV; Las Vegas Creek, NV",true,true,true
NEEDS-ID-16,34,Uncategorized,P.14-17,Over 50 Vegas,"Squires and Brown in group (source page, image not yet located)",https://over50vegas.com/Pop_Squires_Observations.html,,,,
NEEDS-ID-03,35,Trains & Railroads — General,P.17-21,Reno Historical Society,"Reno Mill & Lumber Company headquarters near the railroad tracks, Reno, Nevada (undated, pre-1913) -- pile of lumber and RR tracks in foreground",https://renohistorical.org/items/show/31,,true,,true
pho017607,36,People & Crowds,"P.19, P.55",UNLV Special Collections,"Westlake family, grocery",https://special.library.unlv.edu/ark%3A/62930/d1zg6gb2w,Families; Grocery Store; Westlake Family,true,true,
29904,37,People & Crowds,P.19-23,Utah Historical Society,"Train station, crowd of men in hats, 1910, SLC",https://collections.lib.utah.edu/ark:/87278/s6x06mxq,Crowds; Men; Trains; Train Station; 1910s Fashion,true,true,true
29902,38,People & Crowds,P.19-23,Utah Historical Society,"Crowd of men and women with baggage waiting for train, 1910",https://collections.lib.utah.edu/ark:/87278/s65d95pn,First trains out of Salt Lake at the new Denver & Rio Grande Western,true,true,true
29903,39,People & Crowds,P.19-23,Utah Historical Society,"Crowd of men and women with baggage, facing away from train, 1910",https://collections.lib.utah.edu/ark:/87278/s61n8f0s,First trains out of the new Denver & Rio Grande Western Railroad Depot,true,true,true
29905,40,Trains & Railroads — General,P.19-23,Utah Historical Society,"Train station waiting room, group of men outside, 1910, SLC",https://collections.lib.utah.edu/ark:/87278/s6s75w7v,Western Pacific Railroad opening at the new Denver & Rio Grande Western Railroad Depot.,true,true,true
22585,41,Trains & Railroads — Stations & Travel,P.19-23,Utah Historical Society,"RR dining car interior, people dressed up, 1905-6 (Peter Buol as cook)",https://collections.lib.utah.edu/ark:/87278/s6r50076,"San Pedro, Los Angeles and Salt Lake dining car, June, 1905",true,true,true
pho017608,42,People & Crowds,P.23,UNLV Special Collections,Group of people with mail cart,https://special.library.unlv.edu/ark%3A/62930/d1tt4fx12,People,true,true,
NEEDS-ID-01,43,Urban & Street Scenes,P.26,Private Source (Cragin-Pike Insurance),Peter Buol's Insurance Co. building with sign,https://roughnotes.com/looking-back-looking-ahead-2/,,,,
Pho004751,44,Horses & Animals,P.30-38,UNLV Special Collections,Big Springs,https://special.library.unlv.edu/ark%3A/62930/d1vd6p460,Horses; Automobile; Big Spring; Trees; Springs,true,true,
3c37464,45,Ranching & Farming,P.30-38,Library of Congress,"Eva wells, 1910 (low priority)",https://www.loc.gov/pictures/item/2007662551/,,true,true,true
Snv001051,46,Mining,P.38-42,UNLV Special Collections,"Tonopah mine, 1908",https://special.library.unlv.edu/ark:/62930/d16w96p9w,"Mines; Tonopah, NV",true,true,true
Pho018532,47,People & Crowds,P.38-42,UNLV Special Collections,8 men at Rawhide mine,https://special.library.unlv.edu/ark%3A/62930/d14x54m01,Men; Mines,true,true,
39222001456750,48,People & Crowds,P.38-42,Utah Historical Society,"Stagecoach with men, Ely NV, 1906",https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,"Men; Stagecoach; Ely, NV",true,true,true
Snv000203,49,Mining,P.39,UNLV Special Collections,"Goldfield mine, 1908 (series)",https://special.library.unlv.edu/ark%3A/62930/d1qn5zr5p,"Mines; Goldfield, NV",true,true,
Pho018544,50,Mining,P.39,UNLV Special Collections,"Goldfield mine, 1908",https://special.library.unlv.edu/ark%3A/62930/d1m03z18g,"Mines; Goldfield, NV",true,true,
Snv000194,51,Uncategorized,P.39,UNLV Special Collections,"Goldfield, wide view",https://special.library.unlv.edu/ark%3A/62930/d1mw28t9k,"Goldfield, NV",true,true,
Pho023339,52,Uncategorized,P.40,UNLV Special Collections,"Ely, building boom",https://special.library.unlv.edu/ark%3A/62930/d1mw28m0j,"Ely, NV",true,true,
map000278,53,"Maps, Newspapers & Documents","Not obvious -- see note, may support P.41 context but is a map not a photo",UNLV Special Collections,"Map of the Goldfield Mining District, Nye and Esmeralda Counties, Nevada, 1905",https://special.library.unlv.edu/ark:/62930/d1h12vp3c,,true,true,true
Pho014500,54,People & Crowds,P.41,UNLV Special Collections,3 men at Frenchman mine (incl. Earl Rockwell),https://special.library.unlv.edu/ark%3A/62930/d13t9d84z,Men; Mines; Earl Rockwell,true,true,
pho016483,55,Trains & Railroads — General,"P.41 — New WorkFlow (gold rush 1905, people arriving)",UNLV Special Collections,"Crowd at a railroad station in Las Vegas, approximately 1905-1930 -- Governor Campbell of Arizona identified in crowd but not pinpointed [Fred and Maurine Wilson Photograph Collection]",http://n2t.net/ark:/62930/d1np1wn1s,,true,true,true
snv000021,56,Trains & Railroads — General,P.41 — New WorkFlow (gold rush boom-town imagery),UNLV Special Collections,"Pack trains and buggies crossing the desert, approximately 1901-1905 [Tonopah and Goldfield Mining Photograph Collection]",https://special.library.unlv.edu/node/54162,,true,true,true
snv000207,57,Trains & Railroads — General,P.41 — New WorkFlow (gold rush boom-town imagery),UNLV Special Collections,"Photograph of Mohawk Mine and Tonopah Goldfield Train, Goldfield (Nev.), early 1900s [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada]",http://n2t.net/ark:/62930/d1bc3tb1s,,true,true,true
pho007216,58,Horses & Animals,P.42-43,UNLV Special Collections,"Photograph of mule freight team, circa 1890s-1910s [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d13775v61,,true,true,true
pho007074,59,Horses & Animals,P.42-43,UNLV Special Collections,"Transparency of freight team near Las Vegas, June 1906 [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d1f766693,,true,true,true
pho007073,60,Horses & Animals,P.42-43,UNLV Special Collections,"Transparency of freight team near Las Vegas, June 1906 [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d1k06x13g,Horses; Mules; Freight Hauling,true,true,true
pho007072,61,Horses & Animals,P.42-43,UNLV Special Collections,"Transparency of mule freight team, circa 1890s-1910s [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d1pr7mt7w,Horses; Mules; Freight Hauling; Caravan; Transparency,true,true,true
18498,62,Horses & Animals,P.42-43,Utah Historical Society,Wagons -- Freighting P.32,https://collections.lib.utah.edu/ark:/87278/s6bv8z0v,Freight Hauling; Freight Wagons,true,true,true
pho006145,63,Urban & Street Scenes,"P.42-43, P.90-104",UNLV Special Collections,"Photograph of Ed Clark, circa early to mid 1900s [Squires Family Photographs (PH-00002)]",http://n2t.net/ark:/62930/d1gf0mw37,Ed Clark,true,true,true
pho024853,64,People & Crowds,P.46,UNLV Special Collections,"Beckley family, various (negative)",https://special.library.unlv.edu/ark%3A/62930/d1tb0z194,Families; Beckley Family,true,true,
Pho024864-003,65,People & Crowds,P.46,UNLV Special Collections,"Beckley family, various",https://special.library.unlv.edu/node/342440,Families; Beckley Family; album; dress; family; people; women,true,true,
Pho024864,66,People & Crowds,P.46,UNLV Special Collections,"Beckley family, various",https://special.library.unlv.edu/node/342441,Families; Beckley Family,true,true,
Pho024781,67,Urban & Street Scenes,P.46,UNLV Special Collections,"Will Beckley inside store, 1908 (hats)",https://special.library.unlv.edu/ark%3A/62930/d1445hj8m,Will Beckley; Beckley Family; 1910s Fashion,true,true,
pho024780,68,Urban & Street Scenes,P.46,UNLV Special Collections,"Photograph of William Beckley at the register in his clothing store, Las Vegas (Nev.), circa 1909 [Beckley Family Photograph Collection (PH-00148)]",http://n2t.net/ark:/62930/d17w67c22,,true,true,true
pho025129,69,Commerce & Buildings,P.47,UNLV Special Collections,Saloon interior (Caliente) (1900 to 1930),https://special.library.unlv.edu/ark:/62930/d1901zn61,,true,true,true
pho018411,70,Mining,P.47,UNLV Special Collections,"Electrical line installation near mine, Candelaria, NV, undated",https://special.library.unlv.edu/ark%3A/62930/d1ft8dp04,,true,true,true
GDFDXG,71,Sanitation & Utilities,P.49-51,Alamy,"Outhouses, Bodie ghost town",https://www.alamy.com/stock-photo-bodie-ghost-town-intentional-noise-added-for-vintage-look-111592952.html,"Outhouses / Privies; Bodie, CA",true,true,
DEAWCA,72,Sanitation & Utilities,P.49-51,Alamy,"Outhouses, Sacramento CA - company housing",https://www.alamy.com/in-sacramento-california-fifty-to-sixty-families-pay-1-per-month-for-image60475754.html,"Outhouses / Privies; Sacramento, CA",true,true,
DHCE5Y,73,Sanitation & Utilities,P.49-51,Alamy,"Privy/outdoor toilet, company housing project",https://www.alamy.com/a-privy-or-outdoor-toilet-located-in-the-company-housing-project-of-image62354823.html,Outhouses / Privies,true,true,
2C74JDE,74,Sanitation & Utilities,P.49-51,Alamy,"Cesspool - aerial view (Germany, for reference)",https://www.alamy.com/cesspool-above-and-setting-pond-04072020-aerial-view-germany-schleswig-holstein-image365822618.html,Cesspools; Aerial View,true,true,
NEEDS-ID-04,75,Sanitation & Utilities,P.49-51,Alamy,Shovel in dirt (cesspool reference),https://www.alamy.com/simple-shovel-with-a-wooden-handle-is-stuck-in-a-dry-ground-in-an-unfinished-pit-image263985930.html,,,,
2NHY7BE,76,Sanitation & Utilities,"P.49-51, P.124-128",Alamy,Sewer hole in dirt with ladder (cesspool/sewer construction),https://www.alamy.com/digging-a-deep-round-hole-with-sewer-line-drain-pipe-outlet-for-a-brick-or-concrete-septic-tank-sewer-cesspool-and-manhole-installation-image527358706.html,Sewers; Sewer Construction; Cesspools,true,true,
105170989,77,Sanitation & Utilities,P.49-51,Alamy,Sanitation ring/metal mold (cesspool cover reference),https://www.alamy.com/stock-photo-detail-of-a-sanitation-ring-and-metal-mold-105170989.html,,,,
130432734,78,Sanitation & Utilities,P.49-51,Alamy,Bucket and cesspool-looking hole,https://www.alamy.com/stock-photo-a-golden-bucket-hanging-above-a-little-fountain-made-of-stone-130432734.html,,,,
NEEDS-ID-05,79,Sanitation & Utilities,P.49-51,Alamy,Dirty water / sewer channel,https://www.alamy.com/this-is-the-sewer-channel-of-almost-dead-clusters-of-dead-organic-matter-muddy-water-dim-reflection-of-the-sun-image729420866.html,,,,
NEEDS-ID-06,80,Sanitation & Utilities,P.49-51,Alamy,Filled cesspool (typhus fever reference figure),https://www.alamy.com/typhus-fever-with-particular-reference-to-the-serbian-epidemic-fig-1-filled-cesspool-image338447909.html,,,,
2M18K9B,81,Sanitation & Utilities,P.49-51,Alamy,"Drainage ditches - Southborough, Mass., 1899",https://www.alamy.com/sudbury-department-angellico-swamp-drainage-ditches-junction-of-a-and-c-lines-southborough-mass-dec-7-1899-waterworks-reservoirs-water-distribution-structures-swamps-construction-sites-watershed-sanitary-improvement-image499906103.html,,true,true,true
1583588,82,Sanitation & Utilities,P.49-51,New York Public Library,"Outhouses, 1902",https://digitalcollections.nypl.org/items/106ecd60-c6e9-012f-8823-58d385a7bc34,"Outhouses / Privies; New York City, NY",,true,
1583589,83,Sanitation & Utilities,P.49-51,New York Public Library,"Outhouses, 1902",https://digitalcollections.nypl.org/items/1150ac60-c6e9-012f-af26-58d385a7bc34,"Outhouses / Privies; New York City, NY",,true,
1583597,84,Sanitation & Utilities,P.49-51,New York Public Library,"Outhouses, 1902",https://digitalcollections.nypl.org/items/13f071b0-c6e9-012f-bdf5-58d385a7bc34,"Outhouses / Privies; New York City, NY",true,true,
1576447,85,Sanitation & Utilities,P.49-51,New York Public Library,"Outhouses, 1902",https://digitalcollections.nypl.org/items/14967590-c6e9-012f-83e9-58d385a7bc34,"Outhouses / Privies; New York City, NY",true,true,
58647476,86,Sanitation & Utilities,P.49-51,New York Public Library,Outhouses (TIF format available),https://digitalcollections.nypl.org/items/b33b8580-b977-0138-427d-3ff929dd87e1,"Outhouses / Privies; New York City, NY",true,true,
pho012947,87,Commerce & Buildings,P.51-54,UNLV Special Collections,"Photograph of saloon fire, Caliente, Nevada, 1910 [Elbert Edwards Photograph Collection (PH-00214)]",http://n2t.net/ark:/62930/d1mk6596k,,true,true,true
snv000210,88,Commerce & Buildings,P.51-54,UNLV Special Collections,"Photograph of Goldfield Hotel fire (Nev.), November 17, 1906 [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada (PH-00350)]",http://n2t.net/ark:/62930/d1z31p29g,,true,true,true
snv000320,89,Commerce & Buildings,P.51-54,UNLV Special Collections,"Photograph of the Goldfield Hotel fire, Goldfield (Nev.), November 17, 1906 [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada (PH-00350)]",http://n2t.net/ark:/62930/d16688z6k,,true,true,true
pho028388,90,Events & Disasters,P.51-54,UNLV Special Collections,"Possible Goldfield fire ruins: photographic print [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada (PH-00350)]",http://n2t.net/ark:/62930/d1bv7b54j,,true,true,true
M7WDBN,91,Horses & Animals,P.51,Alamy,Horse wagons full of garbage - Dump story,https://www.alamy.com/stock-photo-the-image-titled-dump-story-appears-to-depict-a-scene-possibly-involving-176965593.html,Horses,true,true,
snv001993,92,Landscape & Terrain,P.51,UNLV Special Collections,Fire in the desert (garbage-pit) (1900 to 1925),https://special.library.unlv.edu/ark:/62930/d12v2cq76,,true,true,true
2RGMMJ1,93,Commerce & Buildings,P.55,Alamy,"Interior grocery store (DGS Store, Wash DC, ca. 1910s)",https://www.alamy.com/interior-of-dgs-store-wash-dc-ca-1910s-image561021497.html,Grocery Store; Building Interior,true,true,
pho016723,94,Commerce & Buildings,P.55,UNLV Special Collections,Mesquite grocery and other shops,https://special.library.unlv.edu/ark%3A/62930/d16d5pf1b,"Grocery Store; Mesquite, NV",true,true,true
NEEDS-ID-23,95,Commerce & Buildings,P.55,UNLV Special Collections (not digitized),"Ward's Mesquite Cash Grocery Store, 1908 (calendar image) - NOT DIGITIZED",https://special.library.unlv.edu/node/309947,,,,
pho014206,96,Commerce & Buildings,P.56-61,UNLV Special Collections,"Photograph of early Las Vegas stores, Las Vegas, circa 1900s [Sherwin ""Scoop"" Garside Photographs (PH-00067)]",http://n2t.net/ark:/62930/d1n58cn9x,,true,true,true
NEEDS-ID-07,97,Events & Disasters,P.56-61,Bartlesville Area History Museum,"Fire Department honor guard, Bartlesville OK",https://www.cityofbartlesville.org/fire-department-launches-honor-guard-marks-112-years-service/,,,,
CC-00324,98,Events & Disasters,P.56-61,Nevada Historical Society,"Fire Department, Carson City, 1890s",https://nevadahistory.pastperfectonline.com/photo/D655425C-6567-42AC-857F-461836246857,"Fire; Fire Department; Carson City, NV",true,true,true
CC-00323,99,Events & Disasters,P.56-61,Nevada Historical Society,"Fire Department, Carson City, 1890s",https://nevadahistory.pastperfectonline.com/photo/A6CFEA42-32E1-4A6D-A655-810133204835,,true,true,true
CC-00802,100,Events & Disasters,P.56-61,Nevada Historical Society,"Fire Department, Carson City, 1890s",https://nevadahistory.pastperfectonline.com/photo/A43CF197-32FF-4384-BB2A-307042705340,"Fire; Fire Department; Carson City, NV",true,true,true
S1083_1090,101,Events & Disasters,P.56-61,State Historical Society of Missouri,"St. Charles Fire Department Hose Company Number One Wagon, St. Charles, Missouri, 1909 [John J. Buse Collection, S1083] -- period fire-equipment reference, not Nevada",https://digital.shsmo.org/digital/collection/imc/id/35589,"Fire; Fire Wagon; St. Louis, MO",true,true,true
pho032884,102,Events & Disasters,"P.56-61, P.163-171",UNLV Special Collections,Fire truck (1910 (approx) to 1945 (approx)),https://special.library.unlv.edu/ark:/62930/d1445hr2d,,true,true,true
P0034-3138,103,People & Crowds,P.56-61,State Historical Society of Missouri,"Hose #4, St. Louis Fire Department fire engine (Photographer: Vic Stevenson) [Charles Trefts Photographs, Collection P0034] -- period fire-equipment reference, not Nevada",https://digital.shsmo.org/digital/collection/imc/id/24082,Firemen,true,true,true
pho025987,104,Commerce & Buildings,P.58-59,UNLV Special Collections,Methodist Church (curfew bell reference),http://n2t.net/ark:/62930/d1mw2cc2m,,true,true,true
pho028106,105,Education,P.58-59,UNLV Special Collections,"First grammar school, 1905-10",https://special.library.unlv.edu/ark%3A/62930/d16d5pk14,Grammar School; Schoolchildren,true,true,
pho025881,106,Education,P.58-59,UNLV Special Collections,"School class, 1915",https://special.library.unlv.edu/ark%3A/62930/d16t0kt56,School Class; Schoolchildren,true,true,
snv001117,107,Education,P.58-59,UNLV Special Collections,"Las Vegas School, 1910, kids and teachers outside",https://special.library.unlv.edu/ark%3A/62930/d1g44j48c,"Schoolchildren; Las Vegas, NV",true,true,true
pho013444,108,Horses & Animals,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",UNLV Special Collections,"Photograph of a wagon hauling freight in Eldorado Canyon, circa 1911-1915 [Elbert Edwards Photograph Collection]",https://special.library.unlv.edu/ark:/62930/d1j678z5t,,true,true,true
snv001959,109,Horses & Animals,P.58 — New WorkFlow (wagons on desert road),UNLV Special Collections,"Photograph of a horse team and freight wagons on a dirt road in the desert, 1900-1925, Las Vegas [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d1bg2hq9h,,true,true,true
snv001260,110,Horses & Animals,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",UNLV Special Collections,"Photograph of men in a horse-drawn wagon in front of the Eldorado Canyon boarding house and mill, Eldorado Canyon (Nev.), 1907 [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d1zw19647,,true,true,true
snv001968,111,Landscape & Terrain,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",UNLV Special Collections,"Photograph of a wagon and horse team on a narrow mountain road, Eldorado Canyon (Nev.), 1900-1925 [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d15q4s142,,true,true,true
snv001161,112,Landscape & Terrain,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",UNLV Special Collections,"Photograph of a wagon approaching the Narrows at Eldorado Canyon (Nev.), 1907 [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d1z02zp6r,,true,true,true
CHS-5553,113,Landscape & Terrain,P.58-59,USC Digital Library,Curfew bell (1907 laws),https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61I5OBW&PN=2&DocRID=2A3BF1C66CC,bell; mount; riverside; mountain; rubidoux,true,true,true
pho014468,114,People & Crowds,P.58,UNLV Special Collections,"People in automobiles, Las Vegas, circa 1910s-1920s",https://special.library.unlv.edu/ark:/62930/d17p8tg24,,true,true,true
pho016809,115,Uncategorized,"P.58 — New WorkFlow (early automobile, exact place/year match)",UNLV Special Collections,"Side view of the 1910 Oldsmobile Limited for the automobile business in Las Vegas, Nevada [James Cashman Sr. Photograph Collection]",http://n2t.net/ark:/62930/d13775z4d,,true,true,true
pho023809,116,Uncategorized,P.58,UNLV Special Collections,"Automobile excursion, Goodsprings NV, 1910s (Chamber of Commerce Excursion)",https://special.library.unlv.edu/ark:/62930/d11n7xt09,,true,true,true
snv002526,117,Urban & Street Scenes,"P.58 — New WorkFlow (Fremont St, automobiles, 1920s)",UNLV Special Collections,"Photograph of Fremont Street, buildings, and automobiles, Las Vegas (Nev.), 1900-1925 [Jacob E. Von Tobel Photograph Collection]",http://n2t.net/ark:/62930/d1br8mw8j,,true,true,true
pho021796,118,Urban & Street Scenes,"P.58 — New WorkFlow (Main St, 1908-1912)",UNLV Special Collections,"Photograph of Main Street, Las Vegas (Nev.), 1908-1912 [Junior League of Las Vegas Photograph Collection]",http://n2t.net/ark:/62930/d1fq9q99m,,true,true,true
