category,keyword
Government & Politics,Suffrage / 19th Amendment Signing
Government & Politics,Bond Financing
Government & Politics,Courthouse
Government & Politics,County Commissioners
Government & Politics,Senator
Events & Disasters,Flood
Events & Disasters,Washout
Events & Disasters,Fire
Events & Disasters,Fire Department
Events & Disasters,Fire Wagon
Events & Disasters,Fire Truck
Events & Disasters,Building Fire
Events & Disasters,Ruins from Fire
Events & Disasters,"Financial Panic (Wall St., 1907)"
Mining,Mines
Mining,Mine Buildings
Mining,Mineral Resources
Mining,Headframes
Mining,Mining Town
Mining,Miners
Mining,Mill
Mining,Power Plant
Mining,Copper Mining
Mining,Mine Tunnel
Ranching & Farming,Ranch
Ranching & Farming,Farmhouse
Ranching & Farming,Greenhouse
Ranching & Farming,Well
Ranching & Farming,Harvest
Ranching & Farming,Orchard
Ranching & Farming,Cattle Branding
Ranching & Farming,Cowboys
Education,Grammar School
Education,School Class
Education,Schoolchildren
Education,Teachers
Recreation & Leisure,Camping
Recreation & Leisure,Picnicking
Recreation & Leisure,Footrace
Recreation & Leisure,Christmas
Landscape & Terrain,Landscape
Landscape & Terrain,Desert
Landscape & Terrain,Mountains
Landscape & Terrain,Trees
Landscape & Terrain,Road
Agriculture,Strawberry Picking
Agriculture,Crates of Peaches
Agriculture,Farming
Urban & Street Scenes,Street Scene
Urban & Street Scenes,Downtown
Urban & Street Scenes,Aerial View
Urban & Street Scenes,Panorama
Urban & Street Scenes,City View
Urban & Street Scenes,Residential Street
Urban & Street Scenes,"Charles ""Pop"" Squires"
Urban & Street Scenes,Delphine Squires
Urban & Street Scenes,Peter Buol
Urban & Street Scenes,Florence Boyer
Urban & Street Scenes,Governor Boyle
Urban & Street Scenes,Governor Dickerson
Urban & Street Scenes,Jake Goodfriend
Urban & Street Scenes,Ed Clark
Urban & Street Scenes,Charles Ronnow
Urban & Street Scenes,Earl Rockwell
Urban & Street Scenes,Leon Rockwell
Urban & Street Scenes,Will Beckley
Urban & Street Scenes,Leva Beckley
Urban & Street Scenes,Beckley Family
Urban & Street Scenes,Von Tobel Family
Urban & Street Scenes,Westlake Family
Urban & Street Scenes,Wilson Family
Urban & Street Scenes,Park Family
Urban & Street Scenes,Mrs. Park
Urban & Street Scenes,Johnnie Horden
Urban & Street Scenes,Olive Lake
Urban & Street Scenes,Della McGriff
Urban & Street Scenes,McGriff Family
Urban & Street Scenes,Cahlan Family
Urban & Street Scenes,Harmon
Nevada,"Reno, NV"
Nevada,"Carson City, NV"
Nevada,"Pioche, NV"
Nevada,"Goldfield, NV"
Nevada,"Ely, NV"
Nevada,"Boulder City, NV"
Nevada,"Las Vegas, NV"
Nevada,"Caliente, NV"
Nevada,"Searchlight, NV"
Nevada,"Tonopah, NV"
Nevada,"Mesquite, NV"
Nevada,"Bunkerville, NV"
Nevada,"Carp, NV"
Nevada,"Stine, NV"
Nevada,"McWilliamstown, NV"
Nevada,"Mt. Charleston, NV"
Nevada,"Kiel Ranch, NV"
Nevada,"Las Vegas Creek, NV"
Nevada,"Meadow Valley Wash, NV"
Nevada,"Lincoln County, NV"
Nevada,"Clark County, NV"
Nevada,"Elko, NV"
Nevada,"Fallon, NV"
Nevada,"Virginia City, NV"
Nevada,"Gold Hill, NV"
Nevada,"Nye County, NV"
Nevada,"Esmeralda County, NV"
Nevada,"Churchill County, NV"
Nevada,"Storey County, NV"
Nevada,"Elko County, NV"
Nevada,"Washoe County, NV"
Nevada,"Duckwater, NV"
Nevada,"Warm Springs, NV"
California,"Los Angeles, CA"
California,"Riverside, CA"
California,"Santa Ana River, CA"
California,"Sacramento, CA"
California,"Bodie, CA"
California,"San Francisco, CA"
California,"San Pedro, CA"
Utah,"Salt Lake City, UT"
Utah,"Castle Gate, UT"
Other States,"New York City, NY"
Other States,"Wall Street, NY"
Other States,"Chicago, IL (LaSalle Street)"
Other States,"St. Louis, MO"
Other States,"Bartlesville, OK"
Other States,"Spokane, WA"
Other States,Boise / Idaho
Other States,"Malden, MA"
Other States,"Melrose, MA"
Other States,"Southborough, MA"
Other States,"Denver, CO"
Other States,Colorado River
Other States,Santa Fe Railway
Other States,Southern Pacific Railroad
Other States,"San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL)"
Other States,Northern Pacific Railway
Other States,Union Pacific Railroad
Other States,Denver & Rio Grande Railroad
Other States,Huntington Library
Other States,USC Digital Library
Other States,New York Public Library (NYPL)
Other States,Library of Congress
Other States,Alamy
Other States,Nevada Historical Society
Other States,Reno Historical Society
Other States,"University of Nevada, Reno"
Other States,Utah Historical Society (J. Willard Marriott Digital Library)
Other States,San Francisco Public Library
Other States,Chicago History Museum
Other States,Union Pacific Railroad Museum
Other States,Goldfield Historical Society
Other States,Northwest Museum (Spokane / Ferris Archives)
Other States,State Historical Society of Missouri
Other States,Bartlesville Area History Museum
Other States,Digital Commonwealth
Other States,Temple University Digital Collections
Other States,UNLV Special Collections
Other States,Western Mining History
Other States,Over 50 Vegas
Other States,1910s Fashion
Other States,Parasols
Other States,Steam / Smoke
Other States,Signage
Other States,Building Exterior
Other States,Building Interior
Other States,Architectural Plans / Blueprints
Other States,Black & White Photograph
Other States,Postcard
Other States,Hand-Colored / Tinted Photograph
Other States,Bamberger Railroad
Other States,Western Pacific Railroad
Other States,Los Angeles Limited (train)
Other States,"Pocatello, ID"
Other States,Virginia & Truckee Railroad
Flag - do not auto-merge,unlv (folder is non-UNLV; may be misfiled)
Flag - do not auto-merge,company (ambiguous)
Flag - do not auto-merge,construction (ambiguous - which kind)
Flag - do not auto-merge,engine (locomotive or equipment?)
Flag - do not auto-merge,equipment (too generic)
Flag - do not auto-merge,interior (needs modifier)
Flag - do not auto-merge,line (rail line vs queue vs other)
Flag - do not auto-merge,pipe (sewer pipe or other)
Flag - do not auto-merge,portrait (solo or group?)
Flag - do not auto-merge,station (needs modifier)
Flag - do not auto-merge,water (infrastructure or natural feature?)
Flag - do not auto-merge,"western, western railroad (regional or specific line?)"
Flag - do not auto-merge,album (organizational label
Flag - do not auto-merge,cities and towns (broad parent term)
